ID,nums
1,7
2,5
3,1
4,1
5,16
6,19
7,21
8,18
9,40
10,1
11,20
12,6
13,6
14,5
15,26
16,12
17,15
18,37
19,19
20,12
21,18
22,2
23,1
24,25
25,65
26,6
27,21
28,13
29,24
30,36
31,27
32,21
33,21
34,6
35,30
36,35
37,10
38,11
39,21
40,11
41,16
42,42
43,3
44,11
45,16
46,4
47,7
48,1
49,17
50,2
51,3
52,10
53,3
54,32
55,7
56,46
58,128
59,11
60,117
61,5
62,15
63,1
64,16
65,4
66,18
67,4
68,7
69,12
70,14
71,12
72,53
73,14
74,30
75,7
76,16
77,39
78,1
79,4
80,41
81,31
82,6
83,4
84,8
85,18
86,30
87,15
89,28
90,14
91,27
92,36
93,54
94,5
95,23
97,8
98,13
99,5
100,3
101,3
102,71
103,92
104,14
105,8
106,5
108,18
109,28
110,38
111,17
112,19
113,3
115,2
116,13
117,16
118,13
119,36
120,14
121,11
122,12
123,21
124,7
125,6
126,10
127,24
129,94
130,16
131,18
132,3
133,1
134,28
135,33
136,27
137,8
138,8
139,18
140,10
141,18
142,11
143,26
144,5
145,41
146,12
147,30
148,48
149,24
152,38
153,34
154,17
155,7
156,19
157,34
158,15
159,1
160,9
161,9
162,8
163,2
164,14
165,17
166,16
167,10
168,5
169,35
171,1
173,12
174,10
175,3
176,7
177,9
178,12
179,14
180,21
181,8
183,16
184,26
185,3
186,34
187,2
188,5
189,23
190,56
191,8
193,6
194,6
195,3
196,23
197,1
198,53
199,25
200,39
201,12
202,4
203,8
204,14
205,1
206,6
207,27
208,1
209,15
210,47
211,25
212,49
213,27
214,3
215,57
216,34
217,32
218,22
219,66
220,40
221,124
222,22
223,13
225,22
226,30
227,14
228,4
229,4
230,14
231,5
232,10
233,29
234,83
235,5
236,37
237,20
239,12
240,36
241,13
242,15
243,1
244,125
245,18
246,1
247,22
248,28
249,22
250,32
251,29
252,14
253,42
254,14
255,21
256,11
257,4
258,22
259,4
260,9
261,4
262,16
263,4
264,20
265,5
266,36
267,10
268,1
269,21
270,25
272,27
273,1
274,16
275,30
276,20
277,30
278,13
279,12
281,13
282,6
283,8
284,83
285,4
286,15
287,6
291,10
292,12
293,10
294,7
295,37
296,10
297,5
298,20
299,3
300,15
302,12
303,13
304,9
306,9
307,12
308,64
309,3
310,130
311,42
312,23
313,23
314,13
315,6
316,15
317,9
318,13
319,3
320,9
321,9
322,13
323,15
324,5
325,2
326,13
327,1
328,7
329,5
330,50
331,31
332,2
333,21
334,7
335,2
336,2
337,8
338,18
339,9
340,3
341,4
342,1
343,1
344,18
345,9
347,2
348,17
349,1
351,3
352,4
353,31
354,8
355,5
356,2
357,22
358,18
359,19
360,11
361,6
362,1
363,4
364,69
365,1
366,7
367,15
368,8
369,2
370,13
371,1
372,11
373,9
375,8
376,11
377,7
378,3
379,2
380,4
381,10
382,3
383,19
384,34
385,4
386,2
388,40
389,19
390,4
391,8
392,23
394,9
395,38
396,30
397,12
398,13
399,28
401,14
402,21
403,9
404,22
406,2
407,27
408,12
409,53
410,3
411,50
412,62
413,21
414,10
415,3
416,32
417,22
418,82
419,65
420,33
421,65
422,15
423,52
424,34
425,16
426,5
428,16
429,16
430,13
431,37
432,23
433,2
434,12
435,8
436,8
438,1
439,43
440,7
441,20
442,26
444,16
445,21
446,3
447,8
448,3
449,8
450,3
451,8
453,39
455,14
456,15
457,9
458,29
459,16
460,39
461,11
462,50
464,2
465,4
466,3
467,23
468,5
469,11
470,24
471,1
472,3
473,5
474,70
475,1
476,3
477,2
478,2
479,37
480,5
481,12
482,16
483,16
485,20
486,57
487,7
488,150
489,7
490,71
491,14
492,14
493,35
494,25
495,11
496,23
497,57
499,16
500,121
501,7
503,17
504,26
505,6
506,14
507,32
508,51
509,19
510,27
511,2
512,119
513,28
514,19
515,42
516,31
517,2
518,1
519,16
520,26
521,25
522,6
523,23
524,28
525,5
526,4
527,11
528,1
529,17
530,3
531,10
532,45
533,28
534,4
535,77
536,11
537,13
538,11
539,43
540,35
541,6
542,10
543,20
544,17
545,9
546,21
547,20
548,2
549,9
550,5
551,10
552,9
553,18
554,103
555,23
556,4
557,2
558,52
559,21
560,24
561,49
562,40
563,40
564,48
565,9
566,25
567,22
568,203
569,22
570,27
571,16
572,236
573,16
575,50
576,10
577,20
578,3
579,6
580,10
581,71
582,35
583,6
584,57
585,9
586,104
587,9
588,43
589,9
590,23
591,23
592,5
593,42
594,45
595,40
596,14
597,12
598,16
599,16
601,2
602,57
604,7
605,7
606,10
607,11
608,12
609,12
610,70
611,1
612,18
613,2
614,167
615,2
616,3
617,25
618,30
619,14
620,41
621,20
622,32
623,6
624,8
625,2
626,2
627,14
628,8
629,4
630,9
631,43
632,19
633,15
634,38
635,17
636,10
637,2
638,22
639,1
640,6
641,39
642,6
644,23
645,8
646,1
648,1
651,5
652,7
654,6
655,27
656,20
657,80
658,25
659,2
660,27
661,7
662,2
663,51
664,51
665,20
666,2
667,3
669,24
670,8
671,4
672,1
673,2
674,40
675,24
676,3
677,7
678,14
679,72
680,26
681,2
682,7
683,2
684,32
685,72
686,92
