ID,nums
3,1
15,2
16,2
18,1
30,1
31,1
36,1
54,1
58,12
65,1
72,2
81,1
86,1
102,4
110,1
119,1
129,7
152,6
157,3
166,3
180,1
190,1
198,3
211,2
221,4
230,1
234,5
244,10
248,1
253,1
261,2
262,1
264,1
265,1
267,1
278,1
283,2
295,1
297,2
308,1
310,3
326,1
330,1
331,2
370,5
390,2
396,1
399,1
408,1
410,1
412,26
418,6
419,4
421,2
423,5
432,1
444,1
462,4
482,2
488,12
490,1
497,1
504,1
507,1
508,5
512,1
515,2
516,1
520,1
524,2
531,1
532,3
535,1
536,2
539,2
554,1
566,2
567,1
568,7
572,4
575,2
595,2
602,4
610,3
614,16
620,2
631,1
641,3
654,2
655,4
669,1
684,1
685,1
690,1
694,3
701,2
707,1
711,1
718,1
728,1
742,1
746,1
758,1
763,1
764,1
766,1
767,2
772,1
782,4
785,2
792,2
800,1
815,2
823,1
824,2
825,2
828,1
830,1
831,2
834,1
835,1
839,9
859,1
872,5
876,6
877,3
878,2
882,3
889,1
892,5
893,2
900,2
903,2
904,1
909,1
914,1
970,4
973,3
979,1
986,2
999,1
1015,3
1022,1
1037,1
1044,1
1051,1
1056,1
1058,14
1060,3
1062,1
1092,1
1093,1
1099,3
1117,1
1128,2
1141,1
1142,1
1148,5
1156,4
1168,2
1183,1
1190,2
1276,1
1290,1
1309,6
1312,2
1313,1
1318,3
1325,1
1331,6
1363,2
1385,1
1392,1
1393,1
1426,4
1447,1
1456,1
1475,2
1496,3
1510,3
1511,2
1519,1
1556,4
1559,1
1566,5
1573,1
1604,2
1608,6
1621,1
1627,3
1629,5
1671,3
1674,1
1676,1
1682,1
1710,2
1720,1
1722,1
1727,1
1729,2
1731,2
1740,1
1753,1
1754,2
1766,1
1767,1
1771,1
1778,2
1782,1
1815,2
1820,1
1839,2
1849,2
1881,1
1891,1
1897,3
1898,3
1900,1
1903,3
1904,2
1905,1
1907,1
1908,4
1917,2
1918,1
1924,2
1928,4
1929,1
1931,2
1936,4
1940,2
1955,1
1972,2
1979,1
1982,2
1983,1
1994,1
1996,3
2008,1
2012,8
2013,1
2015,18
2017,1
2038,1
2072,1
2076,2
2084,1
2093,1
2115,4
2118,1
2120,1
2125,1
2142,1
2175,2
2176,11
2177,1
2179,7
2181,4
2210,2
2225,7
2239,1
2242,2
2243,1
2293,8
2298,5
2321,1
2323,1
2325,1
